Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
20.000000000000004E+0	-151.240965834400300E-3	-144.658406592446720E-3
21.000000000000004E+0	-59.856094590312915E-3	-40.843468332293652E-3
22.000000000000004E+0	-443.588677203355650E-3	41.419487410110575E-3
23.000000000000004E+0	58.073628979299449E-3	-155.747376156005150E-3
24.000000000000004E+0	66.324045133136403E-3	-38.107842165417932E-3
25.000000000000004E+0	-41.127936932698408E-3	-195.804581518191360E-3
26.000000000000004E+0	85.813798599557220E-3	-1.554209321441501E-3
27.000000000000004E+0	-362.690485530369310E-3	37.558452996245176E-3
28.000000000000004E+0	-2.054827521420269E-3	-76.312446680526960E-3
29.000000000000004E+0	-113.330748841822880E-3	187.250238624866170E-3
30.000000000000004E+0	-1.736880844026078E+0	327.347342739741480E-3
31.000000000000004E+0	-39.696280415378711E-3	217.905833211475000E-3
32.000000000000007E+0	-87.776513813742130E-3	-86.228162493421232E-3
33.000000000000007E+0	-71.065719088653209E-3	200.485452835119320E-3
34.000000000000007E+0	22.407702682765162E-3	-11.190832393045138E-3
35.000000000000007E+0	3.962615513969146E-3	29.051428175350440E-3
36.000000000000007E+0	-30.629524991969127E-3	-89.069823581664709E-3
37.000000000000007E+0	25.021145223571073E-3	-68.362187890063875E-3
38.000000000000007E+0	28.509346974503216E-3	89.275431268552252E-3
39.000000000000007E+0	-4.537081985652064E-3	17.901383475337974E-3
40.000000000000007E+0	35.372476306609626E-3	-20.658297801783469E-3
41.000000000000007E+0	70.014616817204375E-3	182.229883692962310E-3
42.000000000000007E+0	42.142059044834035E-3	-271.646882558363330E-3
43.000000000000007E+0	-132.629296714445180E-3	157.528366501590880E-3
44.000000000000007E+0	-9.134609927769152E-3	-79.890780265878786E-3
45.000000000000007E+0	100.586571194564070E-3	-294.670032572477420E-3
46.000000000000007E+0	-1.383619045752780E-3	69.156144644172107E-3
47.000000000000007E+0	-16.201726544526104E-3	-60.348124801247280E-3
48.000000000000007E+0	26.315024232283223E-3	-182.178564331115650E-3
49.000000000000007E+0	59.439679533183076E-3	178.346370366209230E-3
50.000000000000007E+0	-2.527873426138893E-3	-115.311562940279220E-3
51.000000000000007E+0	-58.472266967874269E-3	-81.952941360628043E-3
52.000000000000007E+0	-167.142390688580940E-3	238.017718232961890E-3
53.000000000000007E+0	475.799949341651870E-3	-33.978472114864627E-3
54.000000000000007E+0	-46.499710311344061E-3	-179.963513808741620E-3
55.000000000000007E+0	-73.979378555818695E-3	95.796351994589871E-3
56.000000000000007E+0	-196.917813130802500E-3	-503.205444835271850E-3
57.000000000000007E+0	43.406884703049806E-3	194.867463140743240E-3
58.000000000000007E+0	-38.243514690384089E-3	-135.907548938382580E-3
59.000000000000007E+0	403.101229208989330E-3	-324.547752028083610E-3
60.000000000000007E+0	38.658081712121692E-3	-1.923157562165822E-3
61.000000000000007E+0	19.556548309542465E-3	-57.209201795312817E-3
62.000000000000007E+0	-115.650103495064690E-3	53.125203686969873E-3
63.000000000000007E+0	94.061655866587657E-3	-1.019050227194612E-3
64.000000000000014E+0	-46.978629178497232E-3	99.591747175619236E-3
65.000000000000014E+0	19.765025428448733E-3	-26.399352347617297E-3
66.000000000000014E+0	-67.520054416865802E-3	35.692008353751560E-3
67.000000000000014E+0	42.624714408686995E-3	-44.594751213586005E-3
68.000000000000014E+0	-34.218352120851649E-3	19.078663281942583E-3
69.000000000000014E+0	-57.916638951799368E-3	-36.036637929228711E-3
70.000000000000014E+0	20.562672554819913E-3	93.364876208529290E-3
71.000000000000014E+0	6.937752993982363E-3	-5.199678346500217E-3
72.000000000000014E+0	-8.909123290627062E-3	-113.862524736938600E-3
73.000000000000014E+0	-27.051271053068735E-3	-23.702815288484329E-3
74.000000000000014E+0	-16.005192867916702E-3	1.429082704673910E-3
75.000000000000014E+0	29.145824462542307E-3	-5.297194749094975E-3
76.000000000000014E+0	4.288398889396672E-3	29.119016017371949E-3
77.000000000000014E+0	-54.354622570079468E-3	-12.152883964908236E-3
78.000000000000014E+0	7.488432872750856E-3	-18.818664525617947E-3
79.000000000000014E+0	-691.644946174816930E-6	3.139231796628783E-3
80.000000000000014E+0	-8.862948954491232E-3	14.816228206437089E-3
81.000000000000014E+0	41.426752389920884E-3	16.212179071673386E-3
82.000000000000014E+0	27.017813833192864E-3	565.038097607383890E-6
83.000000000000014E+0	-302.286285422445690E-6	12.383920764106203E-3
84.000000000000014E+0	-16.906291321407849E-3	9.098171723638977E-3
85.000000000000014E+0	-29.014185012558626E-3	-62.411842739989183E-3
86.000000000000014E+0	-14.408316921815037E-3	20.543765835710107E-3
87.000000000000014E+0	-39.405630108027778E-3	-6.735597247434564E-3
88.000000000000014E+0	346.592864058034270E-6	1.629615413909857E-3
89.000000000000014E+0	6.995710943856811E-3	-21.449617083582128E-3
90.000000000000014E+0	14.116348657649075E-3	-11.008283006660548E-3
91.000000000000014E+0	5.721896760733506E-3	-8.868519336335859E-3
92.000000000000014E+0	17.341140275935665E-3	2.771747387431835E-3
93.000000000000014E+0	1.245962044113941E-3	1.987411944379775E-3
94.000000000000014E+0	18.034457582948485E-3	-4.722952876141929E-3
95.000000000000014E+0	20.032524546190353E-3	-7.442197376573898E-3
96.000000000000014E+0	11.067926209439902E-3	-18.630600940818982E-3
97.000000000000014E+0	18.059644136977776E-3	-3.570175274760315E-3
98.000000000000014E+0	8.581426750872586E-3	5.152113020043252E-3
99.000000000000014E+0	5.077306072449429E-3	-10.273090504100250E-3
100.000000000000010E+0	2.641391467902116E-3	10.880094131279964E-3
101.000000000000010E+0	5.051770421404172E-3	7.883656145657621E-3
102.000000000000010E+0	-8.536543947080982E-3	6.643140057204746E-3
103.000000000000010E+0	-738.793504374509780E-6	-4.202586349402572E-3
104.000000000000010E+0	-103.664206037536810E-6	1.378767265257232E-3
105.000000000000010E+0	-3.436240468568401E-3	-6.711634615399349E-3
106.000000000000010E+0	-240.554414505653110E-6	-9.558165378543244E-3
107.000000000000010E+0	-1.555392238604810E-3	-14.822455324877370E-3
108.000000000000010E+0	-1.850288090727086E-3	-3.291097772823333E-3
109.000000000000010E+0	2.468404182224430E-3	151.246086644239100E-6
110.000000000000010E+0	2.552916036189068E-3	3.914478040820710E-3
111.000000000000010E+0	-1.682189337297321E-3	1.870972113908819E-3
112.000000000000010E+0	12.497007915884630E-3	-13.710223406591761E-3
113.000000000000010E+0	-15.093908040510832E-3	6.128226141532351E-3
114.000000000000010E+0	-2.696561973568887E-3	-299.638310750237300E-6
115.000000000000010E+0	-1.004545024532877E-3	-4.048163529771234E-3
116.000000000000010E+0	-4.720389046065110E-3	160.382524925999980E-6
117.000000000000010E+0	-660.908118354627400E-6	3.782932574321467E-3
118.000000000000010E+0	3.010646068344584E-3	-1.749999686158514E-3
119.000000000000010E+0	3.039770012853084E-3	-1.580263509651590E-3
120.000000000000010E+0	3.505494233338844E-3	677.262828021621840E-6
121.000000000000010E+0	684.256647040258560E-6	-130.619357236326900E-6
122.000000000000010E+0	681.954932760269110E-6	-1.201458055547182E-3
123.000000000000010E+0	-3.639993536785027E-3	938.640078209090810E-6
124.000000000000010E+0	386.966844598398310E-6	201.980819768903900E-6
125.000000000000010E+0	1.923854320675684E-3	787.553315400374740E-6
126.000000000000010E+0	-44.562000395104838E-6	2.080968751186543E-3
127.000000000000010E+0	200.751888143107960E-6	6.356990145535201E-3
128.000000000000030E+0	-6.029256053405510E-3	-4.486953562671437E-3
129.000000000000030E+0	-1.258505763504527E-3	1.516429407896548E-3
130.000000000000030E+0	1.442601471616593E-3	1.147407639791701E-3
131.000000000000030E+0	893.382228545287590E-6	-970.564952977355380E-6
132.000000000000030E+0	661.608594432894130E-6	-178.857141651401690E-6
133.000000000000030E+0	183.204422854860520E-6	-22.084174713060829E-6
134.000000000000030E+0	2.121985681097265E-3	-170.974954261310550E-6
135.000000000000030E+0	-1.977759439400613E-3	1.060768066081855E-3
136.000000000000030E+0	425.985867683463310E-6	1.755921153611822E-3
137.000000000000030E+0	-109.805307192815370E-6	39.205808326761051E-6
138.000000000000030E+0	1.606059510086648E-3	-432.364051034167100E-6
139.000000000000030E+0	611.921179346374090E-6	316.732138933333600E-6
140.000000000000030E+0	378.132083531158760E-6	168.321683333687380E-6
