Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
20.000000000000004E+0	1.712429751952429E-9	10.165086713649448E-9
21.000000000000004E+0	6.377329070095006E-9	30.940184719962716E-9
22.000000000000004E+0	15.611176638646599E-9	7.951236814984448E-9
23.000000000000004E+0	4.168631792575878E-9	20.300591965028378E-9
24.000000000000004E+0	4.902466891387028E-9	30.970688705331601E-9
25.000000000000004E+0	3.989173123354261E-9	5.326646175440329E-9
26.000000000000004E+0	3.002470306044895E-9	46.293483126731244E-9
27.000000000000004E+0	1.438831840416477E-9	14.958020800824461E-9
28.000000000000004E+0	2.082252168826666E-9	9.938157522111373E-9
29.000000000000004E+0	2.329247464011613E-9	53.350578847226491E-9
30.000000000000004E+0	1.957584419763650E-9	796.733754493235110E-12
31.000000000000004E+0	590.983378391628690E-12	1.682799540832413E-9
32.000000000000007E+0	428.279535279341050E-12	39.931577253575966E-9
33.000000000000007E+0	481.813881642012480E-12	2.929480745779012E-9
34.000000000000007E+0	459.942609973922930E-12	6.960775306132255E-9
35.000000000000007E+0	666.282838101459020E-12	41.499427334259570E-9
36.000000000000007E+0	1.525895906015703E-9	7.403977242491566E-9
37.000000000000007E+0	760.219309186982700E-12	47.104277359793419E-9
38.000000000000007E+0	468.594134738415550E-12	16.305998712091294E-9
39.000000000000007E+0	443.363551066183850E-12	2.577867927779383E-9
40.000000000000007E+0	338.518173872665760E-12	44.662108542452725E-9
41.000000000000007E+0	674.121376521573890E-12	5.220718069739778E-9
42.000000000000007E+0	1.265946811998632E-9	4.825967303463755E-9
43.000000000000007E+0	1.070975064510075E-9	14.840397825819871E-9
44.000000000000007E+0	868.852844369177390E-12	30.705023139259549E-9
45.000000000000007E+0	635.873853459335580E-12	1.923380412288086E-9
46.000000000000007E+0	694.115891529639110E-12	19.572009709684680E-9
47.000000000000007E+0	996.575913652615410E-12	40.850754187794636E-9
48.000000000000007E+0	2.497234870046313E-9	18.203623959215094E-9
49.000000000000007E+0	7.845364980161190E-9	22.663830480131721E-9
50.000000000000007E+0	3.840277555959250E-9	15.729924450480356E-9
51.000000000000007E+0	4.640372170087863E-9	28.854664530189402E-9
52.000000000000007E+0	6.813005768473777E-9	23.790104019075867E-9
53.000000000000007E+0	2.807270107151795E-9	2.386364269629391E-9
54.000000000000007E+0	1.229595262967660E-9	11.921894438930448E-9
55.000000000000007E+0	1.219319898599969E-9	42.220016135727483E-9
56.000000000000007E+0	3.328733629819363E-9	2.596885290410264E-9
57.000000000000007E+0	3.145318033641913E-9	16.869926144695913E-9
58.000000000000007E+0	6.226283549452662E-9	41.986796461975136E-9
59.000000000000007E+0	7.428826273973990E-9	962.955537102677000E-12
60.000000000000007E+0	2.638096229141395E-9	34.428879289251079E-9
61.000000000000007E+0	490.070892192021570E-12	12.459384182515087E-9
62.000000000000007E+0	794.627512487728680E-12	19.496755383240018E-9
63.000000000000007E+0	444.326122854382110E-12	22.484694746620858E-9
64.000000000000014E+0	429.267261869733980E-12	2.752637058944990E-9
65.000000000000014E+0	179.285506974059390E-12	53.512241609539385E-9
66.000000000000014E+0	80.720929742560611E-12	11.770803961296808E-9
67.000000000000014E+0	147.623348658335050E-12	17.946700752413235E-9
68.000000000000014E+0	55.872303655297161E-12	16.666046564494076E-9
69.000000000000014E+0	170.577754725719860E-12	9.063983379898196E-9
70.000000000000014E+0	96.868332361839358E-12	3.469056418342317E-9
71.000000000000014E+0	192.630265875930610E-12	78.915314572303835E-9
72.000000000000014E+0	185.649762130453390E-12	1.004863280830961E-9
73.000000000000014E+0	307.057851285090850E-12	13.134578956172296E-9
74.000000000000014E+0	498.705312010968110E-12	56.017388079560993E-9
75.000000000000014E+0	338.497675944388700E-12	17.027954990226925E-9
76.000000000000014E+0	300.258919368832760E-12	35.608403652483829E-9
77.000000000000014E+0	300.029601360799400E-12	14.917789473631797E-9
78.000000000000014E+0	271.809947840103570E-12	25.353046803809554E-9
79.000000000000014E+0	138.817777554919510E-12	29.973489943315699E-9
80.000000000000014E+0	153.000469064561880E-12	102.252520076346030E-9
81.000000000000014E+0	248.458714869465990E-12	28.048409847113632E-9
82.000000000000014E+0	217.987026611139330E-12	136.318119439905160E-9
83.000000000000014E+0	247.885990116961200E-12	207.535237322531750E-9
84.000000000000014E+0	161.891442994233580E-12	55.834463880839853E-9
85.000000000000014E+0	184.710559491122920E-12	12.501069546080238E-9
86.000000000000014E+0	291.326008628112400E-12	196.370859616474330E-9
87.000000000000014E+0	328.385623789802600E-12	31.703382570404281E-9
88.000000000000014E+0	287.165924407405840E-12	105.360139970302660E-9
89.000000000000014E+0	300.730475370936630E-12	204.889108627171730E-9
90.000000000000014E+0	184.381362393775750E-12	379.469039216929850E-9
91.000000000000014E+0	212.523755052443540E-12	492.238749648110420E-9
92.000000000000014E+0	177.416256124605380E-12	340.776611612545160E-9
93.000000000000014E+0	193.636862283374350E-12	350.276612259378030E-9
94.000000000000014E+0	258.757067813254860E-12	188.340511593904620E-9
95.000000000000014E+0	276.743311199481040E-12	87.978146206888481E-9
96.000000000000014E+0	111.163512000651680E-12	61.510192569896229E-9
97.000000000000014E+0	108.445186181036890E-12	215.287806306472590E-9
98.000000000000014E+0	339.745615059754390E-12	815.576256807253130E-9
99.000000000000014E+0	290.255625666049590E-12	212.673108154226070E-9
100.000000000000010E+0	206.002488365592890E-12	551.919759917746710E-9
101.000000000000010E+0	211.298480677341200E-12	585.986231791126980E-9
102.000000000000010E+0	241.830659327916400E-12	170.428555780689590E-9
103.000000000000010E+0	170.566596396218960E-12	920.315583466095120E-9
104.000000000000010E+0	59.029225675457982E-12	558.457409655286190E-9
105.000000000000010E+0	117.202569353145400E-12	638.505292328584550E-9
106.000000000000010E+0	212.234327840967870E-12	1.112613106299978E-6
107.000000000000010E+0	164.685701528346360E-12	209.620843939411060E-9
108.000000000000010E+0	131.877834707435920E-12	478.010591164931080E-9
109.000000000000010E+0	201.164236673991000E-12	2.338239537198172E-6
110.000000000000010E+0	495.869401491466900E-12	2.362082145640748E-6
111.000000000000010E+0	228.814739983969500E-12	2.941052301553208E-6
112.000000000000010E+0	93.689041996466844E-12	23.119191785480805E-9
113.000000000000010E+0	100.751146554083410E-12	144.651588620628540E-9
114.000000000000010E+0	96.556703442103600E-12	2.431954370686480E-6
115.000000000000010E+0	157.526661094585680E-12	974.691189495444690E-9
116.000000000000010E+0	119.568657558609440E-12	1.111905793727171E-6
117.000000000000010E+0	137.614130425623450E-12	2.657263310061737E-6
118.000000000000010E+0	121.652560038832970E-12	1.193952876532568E-6
119.000000000000010E+0	83.177807187872541E-12	1.681783150962564E-6
120.000000000000010E+0	102.753620538729550E-12	448.528887476052310E-9
121.000000000000010E+0	219.346635794189700E-12	4.270885678870994E-6
122.000000000000010E+0	194.923784807258070E-12	4.690883691863540E-6
