Freq (Hz)	Coh_Microphone/Source
20.000000000000004E+0	8.499816066472514E-3
21.000000000000004E+0	32.544449527146017E-3
22.000000000000004E+0	31.090152147714385E-3
23.000000000000004E+0	88.948238148740921E-3
24.000000000000004E+0	38.038393715952863E-3
25.000000000000004E+0	13.933586036447964E-3
26.000000000000004E+0	58.889267367484253E-3
27.000000000000004E+0	311.106687430506960E-3
28.000000000000004E+0	117.274970474290650E-3
29.000000000000004E+0	124.079602961895740E-3
30.000000000000004E+0	194.415667978371840E-3
31.000000000000004E+0	437.747923673010130E-3
32.000000000000007E+0	691.844929136089750E-3
33.000000000000007E+0	387.212854531083620E-3
34.000000000000007E+0	101.488944552327780E-3
35.000000000000007E+0	197.463686819253890E-3
36.000000000000007E+0	14.810816939208320E-3
37.000000000000007E+0	167.514825405650770E-3
38.000000000000007E+0	67.359672812965732E-3
39.000000000000007E+0	97.252238670674604E-3
40.000000000000007E+0	116.898317606853690E-3
41.000000000000007E+0	12.506394028651226E-3
42.000000000000007E+0	347.023148971043860E-3
43.000000000000007E+0	281.193337937814040E-3
44.000000000000007E+0	151.633759535196450E-3
45.000000000000007E+0	77.543274872681631E-3
46.000000000000007E+0	146.219544975948660E-3
47.000000000000007E+0	25.534371821107141E-3
48.000000000000007E+0	229.582817611571290E-3
49.000000000000007E+0	247.364863836267410E-3
50.000000000000007E+0	322.098303991838530E-3
51.000000000000007E+0	247.133232077305030E-3
52.000000000000007E+0	240.407239009833240E-3
53.000000000000007E+0	94.446110819144516E-3
54.000000000000007E+0	331.673910414665820E-3
55.000000000000007E+0	396.291546563109780E-3
56.000000000000007E+0	337.605977234771310E-3
57.000000000000007E+0	31.169484934741427E-3
58.000000000000007E+0	47.822475833501722E-3
59.000000000000007E+0	179.848612218786230E-3
60.000000000000007E+0	19.312975098297790E-3
61.000000000000007E+0	66.983631778736286E-3
62.000000000000007E+0	116.785419617442930E-3
63.000000000000007E+0	468.605109015151620E-3
64.000000000000014E+0	578.067619471170020E-3
65.000000000000014E+0	310.758881953230980E-3
66.000000000000014E+0	311.871629395834790E-3
67.000000000000014E+0	245.114061637077190E-3
68.000000000000014E+0	177.945232305815190E-3
69.000000000000014E+0	51.211185335658445E-3
70.000000000000014E+0	197.193617298729670E-3
71.000000000000014E+0	308.591486689583750E-3
72.000000000000014E+0	345.309443952182880E-3
73.000000000000014E+0	403.623319734686130E-3
74.000000000000014E+0	48.268461883452546E-3
75.000000000000014E+0	71.896419092305971E-3
76.000000000000014E+0	87.757253925098311E-3
77.000000000000014E+0	103.566102096763870E-3
78.000000000000014E+0	336.387509742843590E-3
79.000000000000014E+0	825.402778795133240E-3
80.000000000000014E+0	562.359322161412820E-3
81.000000000000014E+0	293.975446410527750E-3
82.000000000000014E+0	232.686409324030620E-3
83.000000000000014E+0	106.079578638979400E-3
84.000000000000014E+0	168.655873223512890E-3
85.000000000000014E+0	435.698531452110900E-3
86.000000000000014E+0	394.683865725121870E-3
87.000000000000014E+0	417.381566125379690E-3
88.000000000000014E+0	544.311610748196230E-3
89.000000000000014E+0	543.109883918917120E-3
90.000000000000014E+0	177.735650496767040E-3
91.000000000000014E+0	132.391520146810520E-3
92.000000000000014E+0	276.026149713310800E-3
93.000000000000014E+0	186.208066082479890E-3
94.000000000000014E+0	59.534404653543621E-3
95.000000000000014E+0	75.212604927404864E-3
96.000000000000014E+0	267.987527288189640E-3
97.000000000000014E+0	453.784982305095290E-3
98.000000000000014E+0	136.967164748509760E-3
99.000000000000014E+0	101.321556933897880E-3
100.000000000000010E+0	431.002249088208170E-3
101.000000000000010E+0	109.984731043505010E-3
102.000000000000010E+0	106.552525612811280E-3
103.000000000000010E+0	272.983580348385050E-3
104.000000000000010E+0	107.883321725911220E-3
105.000000000000010E+0	77.370086804063529E-3
106.000000000000010E+0	192.080860573160820E-3
107.000000000000010E+0	393.574608595258500E-3
108.000000000000010E+0	303.670189878133880E-3
109.000000000000010E+0	22.538735224657595E-3
110.000000000000010E+0	101.873244574261420E-3
111.000000000000010E+0	347.100461479327720E-3
112.000000000000010E+0	150.991672902447080E-3
113.000000000000010E+0	63.030547130484699E-3
114.000000000000010E+0	110.145797726659100E-3
115.000000000000010E+0	166.466394550994910E-3
116.000000000000010E+0	67.473762604268073E-3
117.000000000000010E+0	227.572382990908730E-3
118.000000000000010E+0	677.543700543737140E-3
119.000000000000010E+0	612.757476793541760E-3
120.000000000000010E+0	315.378427580496390E-3
121.000000000000010E+0	48.067866922517029E-3
122.000000000000010E+0	375.347107759841760E-3
123.000000000000010E+0	401.038303984662890E-3
124.000000000000010E+0	24.456579104208620E-3
125.000000000000010E+0	195.483288558082830E-3
126.000000000000010E+0	227.991563896888380E-3
127.000000000000010E+0	263.610685005719440E-3
128.000000000000030E+0	254.029270453867310E-3
129.000000000000030E+0	125.161532917194920E-3
130.000000000000030E+0	124.140947855582000E-3
131.000000000000030E+0	22.510372175921070E-3
132.000000000000030E+0	281.101762071880870E-3
133.000000000000030E+0	258.619510731954330E-3
134.000000000000030E+0	287.507829494187240E-3
135.000000000000030E+0	360.782953209672960E-3
136.000000000000030E+0	562.940883277344590E-3
137.000000000000030E+0	465.977550247078210E-3
138.000000000000030E+0	468.254652683849910E-3
139.000000000000030E+0	340.909441896675820E-3
140.000000000000030E+0	43.736628342852767E-3
141.000000000000030E+0	345.990101187569900E-3
142.000000000000030E+0	346.247277031463350E-3
143.000000000000030E+0	251.979203456446810E-3
144.000000000000030E+0	213.371507255238900E-3
145.000000000000030E+0	170.479283405182540E-3
146.000000000000030E+0	37.405535651768469E-3
147.000000000000030E+0	58.699909120645335E-3
148.000000000000030E+0	109.290325829062120E-3
149.000000000000030E+0	13.448386536836660E-3
150.000000000000030E+0	109.076398882896750E-3
151.000000000000030E+0	179.893501587593870E-3
152.000000000000030E+0	141.737108464645180E-3
153.000000000000030E+0	52.919230466075592E-3
154.000000000000030E+0	23.652986097990086E-3
155.000000000000030E+0	234.918466170989710E-3
156.000000000000030E+0	420.786670527771020E-3
157.000000000000030E+0	358.077907365098700E-3
158.000000000000030E+0	128.266674953706970E-3
159.000000000000030E+0	17.178113395986648E-3
160.000000000000030E+0	179.731416960561020E-3
161.000000000000030E+0	692.845230822576540E-3
162.000000000000030E+0	618.871469316125800E-3
163.000000000000030E+0	364.586499484213230E-3
164.000000000000030E+0	303.264624130702260E-3
165.000000000000030E+0	254.450417097607630E-3
166.000000000000030E+0	102.428904918830370E-3
167.000000000000030E+0	346.034782069534250E-3
168.000000000000030E+0	630.943457072616790E-3
169.000000000000030E+0	468.259451246019590E-3
170.000000000000030E+0	147.385434342337890E-3
171.000000000000030E+0	127.194618680022800E-3
172.000000000000030E+0	650.308221163177320E-3
173.000000000000030E+0	443.912852661681680E-3
174.000000000000030E+0	302.456288691250960E-3
175.000000000000030E+0	544.869887266309800E-3
176.000000000000030E+0	537.458931019900610E-3
177.000000000000030E+0	494.121219117948260E-3
178.000000000000030E+0	651.633084357088780E-3
179.000000000000030E+0	700.526724300343020E-3
180.000000000000030E+0	29.199048767629396E-3
181.000000000000030E+0	691.827322240817890E-3
182.000000000000030E+0	167.452592312028190E-3
183.000000000000030E+0	280.549410186510690E-3
184.000000000000030E+0	225.791702091696830E-3
185.000000000000030E+0	352.098872192208920E-3
186.000000000000030E+0	230.791912558659660E-3
187.000000000000030E+0	307.094840840392010E-3
188.000000000000030E+0	127.774159428832190E-3
189.000000000000030E+0	169.399255468524720E-3
190.000000000000030E+0	469.108974567408190E-3
191.000000000000030E+0	699.617470206433610E-3
192.000000000000030E+0	383.893350540998210E-3
193.000000000000030E+0	522.974690857466280E-3
194.000000000000030E+0	724.784160358308620E-3
195.000000000000030E+0	548.903617451747210E-3
196.000000000000030E+0	413.209690391285690E-3
197.000000000000030E+0	186.371295299106200E-3
198.000000000000030E+0	114.699619662673530E-3
199.000000000000030E+0	631.664725018126320E-3
200.000000000000030E+0	526.126871859740720E-3
201.000000000000030E+0	692.042917173323220E-3
202.000000000000030E+0	944.390031343820380E-3
203.000000000000030E+0	710.194871782933170E-3
204.000000000000030E+0	615.892223733029100E-3
205.000000000000030E+0	26.119963964631773E-3
206.000000000000030E+0	427.169957404691490E-3
207.000000000000030E+0	577.366471658018020E-3
208.000000000000030E+0	202.612213592348430E-3
209.000000000000030E+0	155.595226993354760E-3
210.000000000000030E+0	388.076056678453570E-3
