Freq (Hz)	GxyMicrophone/Source_Real	GxyMicrophone/Source_Imag
20.000000000000004E+0	-1.304398647240739E-9	7.150617352362562E-12
21.000000000000004E+0	-42.526299880115645E-12	13.645347166482880E-9
22.000000000000004E+0	1.378116794948811E-9	8.017975027176183E-9
23.000000000000004E+0	-2.117668814534278E-9	-4.424212938628486E-9
24.000000000000004E+0	-1.942771335394773E-9	-1.686201611096031E-9
25.000000000000004E+0	-2.014292974751089E-9	-1.646899896723653E-9
26.000000000000004E+0	3.068989486606583E-9	-2.312209855585238E-9
27.000000000000004E+0	-2.147114895235148E-9	996.441637903335980E-12
28.000000000000004E+0	-2.075944403496695E-9	569.806129888051280E-12
29.000000000000004E+0	550.119688833634520E-12	-1.157636316374117E-9
30.000000000000004E+0	183.480127789728020E-12	-1.078669204582561E-9
31.000000000000004E+0	136.293544071050860E-12	-335.648966974824240E-12
32.000000000000007E+0	-3.028741786299142E-9	-1.764449361719127E-9
33.000000000000007E+0	1.081239993216542E-9	964.004400749512420E-12
34.000000000000007E+0	599.919349654619560E-12	-30.513598192929405E-12
35.000000000000007E+0	877.923220666609420E-12	-824.517269601217780E-12
36.000000000000007E+0	228.628724348612350E-12	355.314480586684560E-12
37.000000000000007E+0	-407.536717988309150E-12	248.762769960071740E-12
38.000000000000007E+0	-709.893848233478560E-12	708.299743647224920E-12
39.000000000000007E+0	713.979847443206750E-12	-175.362645971408030E-12
40.000000000000007E+0	1.188301708905280E-9	-395.173095624285540E-12
41.000000000000007E+0	477.973793107230020E-12	-736.139751816419060E-12
42.000000000000007E+0	-1.387580953003383E-9	1.036724784090797E-9
43.000000000000007E+0	2.819660612287665E-9	-407.833597647377450E-12
44.000000000000007E+0	-548.340533112860740E-12	643.050963697444190E-12
45.000000000000007E+0	416.898721153414200E-12	-378.570656477362090E-12
46.000000000000007E+0	-1.183034386699465E-9	1.447055147490555E-9
47.000000000000007E+0	799.604613985299390E-12	-1.363160018331322E-9
48.000000000000007E+0	-129.599922826616100E-12	-211.637135782414330E-12
49.000000000000007E+0	-867.482347269086890E-12	1.703460561893754E-9
50.000000000000007E+0	2.607519581237254E-9	2.104403545168298E-9
51.000000000000007E+0	4.279663653013433E-9	897.642194131994580E-12
52.000000000000007E+0	-9.320317444557072E-9	-3.817786596220917E-9
53.000000000000007E+0	347.358048965009830E-12	703.176739279203390E-12
54.000000000000007E+0	1.506743066059159E-9	-61.403738613817479E-12
55.000000000000007E+0	1.024615170141448E-9	-1.908953671846015E-9
56.000000000000007E+0	-1.039944222236823E-9	640.970613542739430E-12
57.000000000000007E+0	1.735410749999116E-9	1.090678688786579E-9
58.000000000000007E+0	3.278288153017046E-9	-2.403893218907201E-9
59.000000000000007E+0	-52.020150507207216E-12	-521.061807559117450E-12
60.000000000000007E+0	2.289820539207622E-9	-1.019415308686054E-9
61.000000000000007E+0	-255.612695967793840E-12	-765.349129503241950E-12
62.000000000000007E+0	7.891887039191042E-12	318.003631614940050E-12
63.000000000000007E+0	-106.156669455418720E-12	-707.078260010878880E-12
64.000000000000014E+0	104.147102528506740E-12	560.368583711218070E-12
65.000000000000014E+0	916.058571069746860E-12	-2.059658906856616E-9
66.000000000000014E+0	-66.841459070289899E-12	-187.165630801990750E-12
67.000000000000014E+0	-556.476787943322520E-12	567.749857864535460E-12
68.000000000000014E+0	-381.987409019446800E-12	155.707967413429050E-12
69.000000000000014E+0	679.731779020630930E-12	377.708648955238020E-12
70.000000000000014E+0	340.944244182683880E-12	-468.443833162741810E-12
71.000000000000014E+0	24.238416861883245E-12	-1.886519566946378E-9
72.000000000000014E+0	53.027325319132533E-12	353.829935007530110E-12
73.000000000000014E+0	257.934653099140000E-12	-74.658089793006840E-12
74.000000000000014E+0	-406.640226163667270E-12	396.069685819736140E-12
75.000000000000014E+0	-75.499337275753733E-12	-81.205096277152224E-12
76.000000000000014E+0	-275.171022281143150E-12	1.224829847819400E-9
77.000000000000014E+0	-85.992979381529599E-12	-1.299838891238163E-9
78.000000000000014E+0	42.777198249774221E-12	698.083515625028290E-12
79.000000000000014E+0	280.016262042124850E-12	-337.967900147734280E-12
80.000000000000014E+0	70.498650831176785E-12	-578.594454484183980E-12
81.000000000000014E+0	-92.607035525964257E-12	-146.635060943674000E-12
82.000000000000014E+0	-549.360158182007090E-12	-607.773407345859020E-12
83.000000000000014E+0	1.822902881386273E-9	881.933104901623870E-12
84.000000000000014E+0	394.668251260849850E-12	1.026608282729783E-9
85.000000000000014E+0	-267.284216539809930E-12	-794.113568361917010E-12
86.000000000000014E+0	-1.499826350500916E-9	-113.428556196319100E-12
87.000000000000014E+0	1.482136581975747E-9	942.319787488073130E-12
88.000000000000014E+0	-3.421229710455424E-9	3.132870626613503E-9
89.000000000000014E+0	3.724720041351518E-9	-4.341654379683981E-9
90.000000000000014E+0	6.842719080243322E-9	-2.407411816981940E-9
91.000000000000014E+0	5.680992639206269E-9	3.229306298461278E-9
92.000000000000014E+0	-3.763235646282506E-9	222.214280968105140E-12
93.000000000000014E+0	-2.880845460539642E-9	575.421385775855120E-12
94.000000000000014E+0	-716.993133388693760E-12	-4.023090115145825E-9
95.000000000000014E+0	-126.826026022709760E-12	-1.597304279902486E-9
96.000000000000014E+0	-1.720697954218576E-9	-504.887592702080200E-12
97.000000000000014E+0	-1.311135042917314E-9	-5.144472083776773E-9
98.000000000000014E+0	2.295574451115151E-9	-5.893561230079850E-9
99.000000000000014E+0	-2.622121369288531E-9	2.158306391933217E-9
100.000000000000010E+0	5.272265247212273E-9	-1.195647013772106E-9
101.000000000000010E+0	-1.300237247544260E-9	1.004521672543967E-9
102.000000000000010E+0	860.885984849715870E-12	163.039671065670860E-12
103.000000000000010E+0	-3.827957113167765E-9	2.543896372800079E-9
104.000000000000010E+0	-2.201218061390121E-9	203.867078517993290E-12
105.000000000000010E+0	-1.255154170847350E-9	972.193219809291650E-12
106.000000000000010E+0	-1.815512636565081E-9	4.100833017869552E-9
