Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
20.000000000000004E+0	135.086729368162020E-3	12.761078098192645E+0
21.000000000000004E+0	512.575501813787190E-3	14.065205869983400E+0
22.000000000000004E+0	978.955701733437600E-3	13.496494450763279E+0
23.000000000000004E+0	215.330827666239480E-3	15.588316471067916E+0
24.000000000000004E+0	114.291607110014570E-3	16.272166057227423E+0
25.000000000000004E+0	28.487352218242935E-3	15.326503895199055E+0
26.000000000000004E+0	44.952965934131964E-3	14.790448023389086E+0
27.000000000000004E+0	196.318170436152880E-3	17.477641609427014E+0
28.000000000000004E+0	261.361844814216260E-3	19.667226324289409E+0
29.000000000000004E+0	243.097147714353170E-3	16.959826537861211E+0
30.000000000000004E+0	814.835046015677580E-3	18.461896067184213E+0
31.000000000000004E+0	416.027272810458040E-3	21.299990229482972E+0
32.000000000000007E+0	14.397482365308731E-3	24.175124416893698E+0
33.000000000000007E+0	148.046546181253100E-3	25.069557314329732E+0
34.000000000000007E+0	25.772024768941814E-3	26.561775753408387E+0
35.000000000000007E+0	68.398664407124846E-3	28.653889517791317E+0
36.000000000000007E+0	200.758824261974920E-3	30.478244850534214E+0
37.000000000000007E+0	55.547706073647882E-3	29.980178834288658E+0
38.000000000000007E+0	40.294415731473104E-3	31.382895030250353E+0
39.000000000000007E+0	124.015813195698600E-3	33.252906105701840E+0
40.000000000000007E+0	37.642326961671739E-3	35.128921240510472E+0
41.000000000000007E+0	102.220479545309620E-3	37.063855903218645E+0
42.000000000000007E+0	92.992943804590833E-3	38.162024635926691E+0
43.000000000000007E+0	43.088660798724900E-3	39.974482955404675E+0
44.000000000000007E+0	93.655096223360920E-3	42.179917996121659E+0
45.000000000000007E+0	208.970567861937930E-3	40.792893487919997E+0
46.000000000000007E+0	105.226953527046770E-3	41.768381122182845E+0
47.000000000000007E+0	76.514853363190985E-3	44.167889981257986E+0
48.000000000000007E+0	52.071398058436184E-3	43.897462712837999E+0
49.000000000000007E+0	18.535295499409975E-3	43.801893023411637E+0
